State,pollster,pop,vtype,method,begmm,begdd,begyy,endmm,enddd,endyy,trump,clinton,other,undecided,Begdate,Enddate,Middate
US,"UPI/CVOTER",1265,"Likely Voters","Internet",9,8,2016,9,14,2016,48.0,47.0,5.0,,9/8/2016,9/14/2016,9/11/2016
US,"NBC/SurveyMonkey",16220,"Registered Voters","Internet",9,5,2016,9,11,2016,44.0,48.0,,,9/5/2016,9/11/2016,9/8/2016
US,"NBC/SurveyMonkey",16220,"Registered Voters","Internet",9,5,2016,9,11,2016,40.0,42.0,,,9/5/2016,9/11/2016,9/8/2016
US,"UPI/CVOTER",1226,"Likely Voters","Internet",9,1,2016,9,7,2016,48.0,47.0,6.0,,9/1/2016,9/7/2016,9/4/2016
US,"ABC/Post",642,"Likely Voters","Live Phone",9,5,2016,9,8,2016,41.0,46.0,1.0,,9/5/2016,9/8/2016,9/6/2016
US,"ABC/Post",1,"Likely Voters","Live Phone",9,5,2016,9,8,2016,43.0,51.0,0.0,1.0,9/5/2016,9/8/2016,9/6/2016
US,"GWU/Battleground",1000,"Likely Voters","Live Phone",8,28,2016,9,1,2016,40.0,42.0,,5.0,8/28/2016,9/1/2016,8/30/2016
US,"UPI/CVOTER",1173,"Likely Voters","Internet",8,25,2016,8,31,2016,46.0,48.0,6.0,,8/25/2016,8/31/2016,8/28/2016
US,"NBC/SurveyMonkey",32226,"Registered Voters","Internet",8,29,2016,9,4,2016,42.0,48.0,,,8/29/2016,9/4/2016,9/1/2016
US,"NBC/SurveyMonkey",32226,"Registered Voters","Internet",8,29,2016,9,4,2016,37.0,41.0,,,8/29/2016,9/4/2016,9/1/2016
US,"NBC/SurveyMonkey",24104,"Registered Voters","Internet",8,22,2016,8,28,2016,42.0,48.0,,,8/22/2016,8/28/2016,8/25/2016
US,"NBC/SurveyMonkey",24104,"Registered Voters","Internet",8,22,2016,8,28,2016,37.0,41.0,,,8/22/2016,8/28/2016,8/25/2016
US,"Monmouth University",689,"Likely Voters","Live Phone",8,25,2016,8,28,2016,39.0,46.0,1.0,5.0,8/25/2016,8/28/2016,8/26/2016
US,"Monmouth University",689,"Likely Voters","Live Phone",8,25,2016,8,28,2016,42.0,49.0,4.0,5.0,8/25/2016,8/28/2016,8/26/2016
US,"UPI/CVOTER",1187,"Likely Voters","Internet",8,18,2016,8,24,2016,49.0,48.0,4.0,,8/18/2016,8/24/2016,8/21/2016
US,"Public Religion Research Institute ",1630,"Registered Voters","Live Phone",8,10,2016,8,16,2016,35.0,48.0,,,8/10/2016,8/16/2016,8/13/2016
US,"NBC/SurveyMonkey",17459,"Registered Voters","Internet",8,15,2016,8,21,2016,42.0,50.0,,,8/15/2016,8/21/2016,8/18/2016
US,"NBC/SurveyMonkey",17459,"Registered Voters","Internet",8,15,2016,8,21,2016,38.0,43.0,,,8/15/2016,8/21/2016,8/18/2016
US,"Morning Consult",2001,"Registered Voters","Internet",8,18,2016,8,20,2016,36.0,39.0,,,8/18/2016,8/20/2016,8/19/2016
US,"UPI/CVOTER",1009,"Likely Voters","Internet",8,11,2016,8,17,2016,46.0,50.0,5.0,,8/11/2016,8/17/2016,8/14/2016
US,"Pew",1567,"Registered Voters","Live Phone",8,9,2016,8,16,2016,37.0,41.0,2.0,,8/9/2016,8/16/2016,8/12/2016
US,"Zogby (Internet)",1277,"Likely Voters","Internet",8,12,2016,8,13,2016,36.0,38.0,,,8/12/2016,8/13/2016,8/12/2016
US,"NBC/SurveyMonkey",15179,"Registered Voters","Internet",8,8,2016,8,14,2016,41.0,50.0,,,8/8/2016,8/14/2016,8/11/2016
US,"NBC/SurveyMonkey",15179,"Registered Voters","Internet",8,8,2016,8,14,2016,37.0,43.0,,,8/8/2016,8/14/2016,8/11/2016
US,"UPI/CVOTER",1077,"Likely Voters","Internet",8,3,2016,8,10,2016,45.0,50.0,5.0,,8/3/2016,8/10/2016,8/6/2016
US,"PSRAI",798,"Registered Voters","Live Phone",8,4,2016,8,7,2016,39.0,45.0,,,8/4/2016,8/7/2016,8/5/2016
US,"Bloomberg/Selzer",749,"Likely Voters","Live Phone",8,5,2016,8,8,2016,40.0,44.0,,,8/5/2016,8/8/2016,8/6/2016
US,"Bloomberg/Selzer",749,"Likely Voters","Live Phone",8,5,2016,8,8,2016,44.0,50.0,3.0,,8/5/2016,8/8/2016,8/6/2016
US,"NBC/SurveyMonkey",11480,"Registered Voters","Internet",8,1,2016,8,7,2016,41.0,51.0,,,8/1/2016,8/7/2016,8/4/2016
US,"NBC/SurveyMonkey",11480,"Registered Voters","Internet",8,1,2016,8,7,2016,38.0,44.0,,,8/1/2016,8/7/2016,8/4/2016
US,"Monmouth University",683,"Likely Voters","Live Phone",8,4,2016,8,7,2016,37.0,50.0,1.0,3.0,8/4/2016,8/7/2016,8/5/2016
US,"ABC/Post",682,"Likely Voters","Live Phone",8,1,2016,8,4,2016,44.0,51.0,1.0,1.0,8/1/2016,8/4/2016,8/2/2016
US,"ABC/Post",682,"Likely Voters","Live Phone",8,1,2016,8,4,2016,39.0,47.0,1.0,,8/1/2016,8/4/2016,8/2/2016
US,"NBC/WSJ",800,"Registered Voters","Live Phone",7,31,2016,8,3,2016,38.0,47.0,3.0,,7/31/2016,8/3/2016,8/1/2016
US,"NBC/WSJ",800,"Registered Voters","Live Phone",7,31,2016,8,3,2016,34.0,43.0,3.0,,7/31/2016,8/3/2016,8/1/2016
US,"UPI/CVOTER",989,"Likely Voters","Internet",7,27,2016,8,2,2016,46.0,49.0,5.0,,7/27/2016,8/2/2016,7/30/2016
US,"Rasmussen",1000,"Likely Voters","IVR/Online",8,1,2016,8,2,2016,40.0,44.0,,,8/1/2016,8/2/2016,8/1/2016
US,"NBC/SurveyMonkey",12742,"Registered Voters","Internet",7,25,2016,7,31,2016,42.0,50.0,,,7/25/2016,7/31/2016,7/28/2016
US,"NBC/SurveyMonkey",12742,"Registered Voters","Internet",7,25,2016,7,31,2016,38.0,43.0,,,7/25/2016,7/31/2016,7/28/2016
US,"RABA Research",956,"Likely Voters","Internet",7,29,2016,7,29,2016,31.0,46.0,,,7/29/2016,7/29/2016,7/29/2016
US,"Ipsos/Reuters",1433,"Likely Voters","Internet",7,25,2016,7,29,2016,37.0,37.0,5.0,,7/25/2016,7/29/2016,7/27/2016
US,"Rasmussen",1000,"Likely Voters","IVR/Online",7,26,2016,7,27,2016,42.0,43.0,,,7/26/2016,7/27/2016,7/26/2016
US,"Raba Research",909,"Likely Voters","Internet",7,22,2016,7,22,2016,34.0,39.0,,,7/22/2016,7/22/2016,7/22/2016
US,"NBC/SurveyMonkey",12931,"Registered Voters","Internet",7,18,2016,7,24,2016,45.0,46.0,,,7/18/2016,7/24/2016,7/21/2016
US,"NBC/SurveyMonkey",12931,"Registered Voters","Internet",7,18,2016,7,24,2016,41.0,39.0,,,7/18/2016,7/24/2016,7/21/2016
US,"Gravis Marketing/OANN",3462,"Registered Voters","Automated Phone",7,21,2016,7,22,2016,51.0,49.0,,,7/21/2016,7/22/2016,7/21/2016
US,"Rasmussen",1000,"Likely Voters","IVR/Online",7,18,2016,7,19,2016,43.0,42.0,,,7/18/2016,7/19/2016,7/18/2016
US,"ICITIZEN",1000,"Registered Voters","Internet",7,12,2016,7,15,2016,41.0,46.0,,13.0,7/12/2016,7/15/2016,7/13/2016
US,"ICITIZEN",1000,"Registered Voters","Internet",7,12,2016,7,15,2016,32.0,39.0,,,7/12/2016,7/15/2016,7/13/2016
US,"GQR (D-Democracy Corps)",900,"Likely Voters","Live Phone",7,13,2016,7,18,2016,40.0,43.0,4.0,2.0,7/13/2016,7/18/2016,7/15/2016
US,"GQR (D-Democracy Corps)",900,"Likely Voters","Live Phone",7,13,2016,7,18,2016,43.0,50.0,1.0,3.0,7/13/2016,7/18/2016,7/15/2016
US,"NBC/SurveyMonkey",9436,"Registered Voters","Internet",7,11,2016,7,17,2016,45.0,46.0,,,7/11/2016,7/17/2016,7/14/2016
US,"NBC/SurveyMonkey",9436,"Registered Voters","Internet",7,11,2016,7,17,2016,40.0,39.0,,,7/11/2016,7/17/2016,7/14/2016
US,"ABC/Post",816,"Registered Voters","Live Phone",7,11,2016,7,14,2016,43.0,47.0,2.0,2.0,7/11/2016,7/14/2016,7/12/2016
US,"ABC/Post",816,"Registered Voters","Live Phone",7,11,2016,7,14,2016,38.0,42.0,1.0,,7/11/2016,7/14/2016,7/12/2016
US,"NBC/WSJ",1000,"Registered Voters","Live Phone",7,9,2016,7,13,2016,41.0,46.0,1.0,4.0,7/9/2016,7/13/2016,7/11/2016
US,"NBC/WSJ",1000,"Registered Voters","Live Phone",7,9,2016,7,13,2016,35.0,41.0,2.0,,7/9/2016,7/13/2016,7/11/2016
US,"AP-GfK (web)",837,"Registered Voters","Internet",7,7,2016,7,11,2016,36.0,40.0,,,7/7/2016,7/11/2016,7/9/2016
US,"Rasmussen",1000,"Likely Voters","IVR/Online",7,12,2016,7,13,2016,44.0,37.0,,,7/12/2016,7/13/2016,7/12/2016
US,"CBS/Times",1358,"Registered Voters","Live Phone",7,8,2016,7,12,2016,40.0,40.0,4.0,,7/8/2016,7/12/2016,7/10/2016
US,"CBS/Times",1358,"Registered Voters","Live Phone",7,8,2016,7,12,2016,36.0,36.0,2.0,,7/8/2016,7/12/2016,7/10/2016
US,"Raba Research",781,"Likely Voters","Internet",7,7,2016,7,9,2016,29.0,41.0,,18.0,7/7/2016,7/9/2016,7/8/2016
US,"NBC/SurveyMonkey",7869,"Registered Voters","Internet",7,4,2016,7,10,2016,44.0,47.0,,,7/4/2016,7/10/2016,7/7/2016
US,"NBC/SurveyMonkey",7869,"Registered Voters","Internet",7,4,2016,7,10,2016,38.0,40.0,,,7/4/2016,7/10/2016,7/7/2016
US,"GQR (D-Democracy Corps)",900,"Likely Voters","Live Phone",6,23,2016,6,28,2016,37.0,48.0,3.0,,6/23/2016,6/28/2016,6/25/2016
US,"Pew",1655,"Registered Voters","Live Phone",6,15,2016,6,26,2016,36.0,45.0,4.0,,6/15/2016,6/26/2016,6/20/2016
US,"Pew",1655,"Registered Voters","Live Phone",6,15,2016,6,26,2016,42.0,51.0,7.0,,6/15/2016,6/26/2016,6/20/2016
US,"Rasmussen",1000,"Likely Voters","IVR/Online",7,5,2016,7,5,2016,42.0,40.0,13.0,5.0,7/5/2016,7/5/2016,7/5/2016
US,"Gravis Marketing/OANN",2162,"Registered Voters","Automated Phone",6,27,2016,6,28,2016,46.0,50.0,4.0,,6/27/2016,6/28/2016,6/27/2016
US,"NBC/SurveyMonkey",10072,"Registered Voters","Internet",6,27,2016,7,3,2016,43.0,48.0,,,6/27/2016,7/3/2016,6/30/2016
US,"NBC/SurveyMonkey",10072,"Registered Voters","Internet",6,27,2016,7,3,2016,38.0,41.0,,,6/27/2016,7/3/2016,6/30/2016
US,"Rasmussen",1000,"Likely Voters","IVR/Online",6,28,2016,6,29,2016,43.0,39.0,12.0,5.0,6/28/2016,6/29/2016,6/28/2016
US,"NBC/SurveyMonkey",5818,"Registered Voters","Internet",6,20,2016,6,26,2016,41.0,49.0,,,6/20/2016,6/26/2016,6/23/2016
US,"NBC/SurveyMonkey",5818,"Registered Voters","Internet",6,20,2016,6,26,2016,36.0,42.0,,,6/20/2016,6/26/2016,6/23/2016
US,"NBC/WSJ",1000,"Registered Voters","Live Phone",6,19,2016,6,23,2016,41.0,46.0,2.0,2.0,6/19/2016,6/23/2016,6/21/2016
US,"NBC/WSJ",1000,"Registered Voters","Live Phone",6,19,2016,6,23,2016,38.0,39.0,1.0,,6/19/2016,6/23/2016,6/21/2016
US,"ABC/Post",836,"Registered Voters","Live Phone",6,20,2016,6,23,2016,39.0,51.0,2.0,1.0,6/20/2016,6/23/2016,6/21/2016
US,"ABC/Post",836,"Registered Voters","Live Phone",6,20,2016,6,23,2016,34.0,47.0,1.0,,6/20/2016,6/23/2016,6/21/2016
US,"Rasmussen",1000,"Likely Voters","IVR/Online",6,20,2016,6,21,2016,39.0,44.0,11.0,6.0,6/20/2016,6/21/2016,6/20/2016
US,"NBC/SurveyMonkey",16135,"Registered Voters","Internet",6,13,2016,6,19,2016,42.0,48.0,,,6/13/2016,6/19/2016,6/16/2016
US,"NBC/SurveyMonkey",16135,"Registered Voters","Internet",6,13,2016,6,19,2016,38.0,42.0,,,6/13/2016,6/19/2016,6/16/2016
US,"CNBC",801,"Registered Voters","Live Phone",6,11,2016,6,13,2016,35.0,40.0,2.0,7.0,6/11/2016,6/13/2016,6/12/2016
US,"Gravis Marketing/OANN",2197,"Registered Voters","Automated Phone",6,16,2016,6,16,2016,45.0,50.0,5.0,,6/16/2016,6/16/2016,6/16/2016
US,"Rasmussen",1000,"Likely Voters","IVR/Online",6,14,2016,6,15,2016,39.0,44.0,14.0,4.0,6/14/2016,6/15/2016,6/14/2016
US,"Bloomberg/Selzer",750,"Likely Voters","Live Phone",6,10,2016,6,13,2016,37.0,49.0,,4.0,6/10/2016,6/13/2016,6/11/2016
US,"Bloomberg/Selzer",750,"Likely Voters","Live Phone",6,10,2016,6,13,2016,36.0,54.0,,,6/10/2016,6/13/2016,6/11/2016
US,"NBC/SurveyMonkey",9355,"Registered Voters","Internet",6,6,2016,6,12,2016,42.0,49.0,,,6/6/2016,6/12/2016,6/9/2016
US,"NBC/SurveyMonkey",9355,"Registered Voters","Internet",6,6,2016,6,12,2016,38.0,42.0,,,6/6/2016,6/12/2016,6/9/2016
US,"Rasmussen",1000,"Likely Voters","IVR/Online",6,6,2016,6,7,2016,38.0,42.0,15.0,5.0,6/6/2016,6/7/2016,6/6/2016
US,"NBC/SurveyMonkey",9240,"Registered Voters","Internet",5,30,2016,6,5,2016,44.0,48.0,,,5/30/2016,6/5/2016,6/2/2016
US,"Rasmussen",1000,"Likely Voters","IVR/Online",5,31,2016,6,1,2016,38.0,39.0,18.0,5.0,5/31/2016,6/1/2016,5/31/2016
US,"NBC/SurveyMonkey",12969,"Registered Voters","Internet",5,23,2016,5,29,2016,45.0,47.0,,,5/23/2016,5/29/2016,5/26/2016
US,"Rasmussen",1000,"Likely Voters","IVR/Online",5,23,2016,5,24,2016,39.0,40.0,14.0,7.0,5/23/2016,5/24/2016,5/23/2016
US,"NBC/SurveyMonkey",14513,"Registered Voters","Internet",5,16,2016,5,22,2016,43.0,47.0,,,5/16/2016,5/22/2016,5/19/2016
US,"ARG",980,"Registered Voters","Live Phone",5,17,2016,5,20,2016,46.0,46.0,2.0,6.0,5/17/2016,5/20/2016,5/18/2016
US,"Schoen (D)",1000,"Likely Voters","Live Phone",5,16,2016,5,19,2016,42.0,44.0,,14.0,5/16/2016,5/19/2016,5/17/2016
US,"ABC/Post",829,"Registered Voters","Live Phone",5,16,2016,5,19,2016,46.0,44.0,2.0,1.0,5/16/2016,5/19/2016,5/17/2016
US,"NBC/WSJ",1000,"Registered Voters","Live Phone",5,15,2016,5,19,2016,43.0,46.0,9.0,2.0,5/15/2016,5/19/2016,5/17/2016
US,"Rasmussen",1000,"Likely Voters","IVR/Online",5,17,2016,5,18,2016,42.0,37.0,13.0,7.0,5/17/2016,5/18/2016,5/17/2016
US,"NBC/SurveyMonkey",12507,"Registered Voters","Internet",5,9,2016,5,15,2016,45.0,48.0,,,5/9/2016,5/15/2016,5/12/2016
US,"Gravis Marketing/OANN",1574,"Registered Voters","Automated Phone",5,10,2016,5,10,2016,49.0,51.0,,,5/10/2016,5/10/2016,5/10/2016
US,"NBC/SurveyMonkey",11089,"Registered Voters","Internet",5,2,2016,5,8,2016,44.0,49.0,,,5/2/2016,5/8/2016,5/5/2016
US,"Ipsos/Reuters",1102,"Registered Voters","Internet",4,30,2016,5,4,2016,36.0,45.0,10.0,,4/30/2016,5/4/2016,5/2/2016
US,"NBC/SurveyMonkey",12462,"Registered Voters","Internet",4,25,2016,5,1,2016,37.0,43.0,,19.0,4/25/2016,5/1/2016,4/28/2016
US,"Rasmussen",1000,"Likely Voters","IVR/Online",4,27,2016,4,28,2016,41.0,39.0,15.0,5.0,4/27/2016,4/28/2016,4/27/2016
US,"Rasmussen",1000,"Likely Voters","IVR/Online",4,25,2016,4,26,2016,38.0,38.0,16.0,2.0,4/25/2016,4/26/2016,4/25/2016
US,"Ipsos/Reuters",1756,"Registered Voters","Internet",4,23,2016,4,27,2016,36.0,43.0,13.0,,4/23/2016,4/27/2016,4/25/2016
US,"Zogby (Internet)",834,"Likely Voters","Internet",4,19,2016,4,20,2016,40.0,47.0,,14.0,4/19/2016,4/20/2016,4/19/2016
US,"NBC/SurveyMonkey",9405,"Registered Voters","Internet",4,18,2016,4,24,2016,36.0,44.0,,19.0,4/18/2016,4/24/2016,4/21/2016
US,"Ipsos/Reuters",1334,"Registered Voters","Internet",4,16,2016,4,20,2016,33.0,44.0,12.0,,4/16/2016,4/20/2016,4/18/2016
US,"NBC/SurveyMonkey",11498,"Registered Voters","Internet",4,11,2016,4,17,2016,39.0,48.0,,9.0,4/11/2016,4/17/2016,4/14/2016
US,"NBC/WSJ",1000,"Registered Voters","Live Phone",4,10,2016,4,14,2016,39.0,50.0,9.0,2.0,4/10/2016,4/14/2016,4/12/2016
US,"Ipsos/Reuters",1424,"Registered Voters","Internet",4,9,2016,4,13,2016,34.0,43.0,15.0,,4/9/2016,4/13/2016,4/11/2016
US,"NBC/SurveyMonkey",11204,"Registered Voters","Internet",4,4,2016,4,10,2016,36.0,43.0,,19.0,4/4/2016,4/10/2016,4/7/2016
US,"Ipsos/Reuters",1325,"Registered Voters","Internet",4,2,2016,4,6,2016,34.0,39.0,16.0,,4/2/2016,4/6/2016,4/4/2016
US,"NBC/SurveyMonkey",12116,"Registered Voters","Internet",3,28,2016,4,3,2016,33.0,45.0,,20.0,3/28/2016,4/3/2016,3/31/2016
US,"GQR (D-Democracy Corps/Women's Voices Women Vote)",900,"Likely Voters","Live Phone",3,17,2016,3,24,2016,40.0,53.0,1.0,,3/17/2016,3/24/2016,3/20/2016
US,"Ipsos/Reuters",1580,"Registered Voters","Internet",3,27,2016,3,31,2016,32.0,45.0,13.0,,3/27/2016,3/31/2016,3/29/2016
US,"Ipsos/Reuters",1311,"Registered Voters","Internet",3,19,2016,3,23,2016,35.0,43.0,9.0,,3/19/2016,3/23/2016,3/21/2016
US,"Bloomberg/Selzer",815,"Likely Voters","Live Phone",3,19,2016,3,22,2016,36.0,54.0,,9.0,3/19/2016,3/22/2016,3/20/2016
US,"Ipsos/Reuters",1437,"Registered Voters","Internet",3,12,2016,3,16,2016,37.0,42.0,13.0,,3/12/2016,3/16/2016,3/14/2016
US,"Ipsos/Reuters",1594,"Registered Voters","Internet",3,5,2016,3,9,2016,31.0,45.0,13.0,,3/5/2016,3/9/2016,3/7/2016
US,"NBC/WSJ",1200,"Registered Voters","Live Phone",3,3,2016,3,6,2016,38.0,51.0,9.0,2.0,3/3/2016,3/6/2016,3/4/2016
US,"ABC/Post",864,"Registered Voters","Live Phone",3,3,2016,3,6,2016,41.0,50.0,1.0,1.0,3/3/2016,3/6/2016,3/4/2016
US,"Ipsos/Reuters",1381,"Registered Voters","Internet",2,27,2016,3,2,2016,35.0,46.0,10.0,,2/27/2016,3/2/2016,2/29/2016
US,"Rasmussen",1000,"Likely Voters","IVR/Online",2,29,2016,3,1,2016,36.0,41.0,21.0,3.0,2/29/2016,3/1/2016,2/29/2016
US,"Ipsos/Reuters",1246,"Registered Voters","Internet",2,20,2016,2,24,2016,35.0,44.0,10.0,,2/20/2016,2/24/2016,2/22/2016
US,"Ipsos/Reuters",1213,"Registered Voters","Internet",2,13,2016,2,17,2016,37.0,44.0,10.0,,2/13/2016,2/17/2016,2/15/2016
US,"NBC/WSJ",800,"Registered Voters","Live Phone",2,14,2016,2,16,2016,40.0,50.0,9.0,1.0,2/14/2016,2/16/2016,2/15/2016
US,"Ipsos/Reuters",1337,"Registered Voters","Internet",2,6,2016,2,10,2016,34.0,44.0,11.0,,2/6/2016,2/10/2016,2/8/2016
US,"Ipsos/Reuters",1434,"Registered Voters","Internet",1,30,2016,2,3,2016,36.0,44.0,9.0,,1/30/2016,2/3/2016,2/1/2016
US,"Morning Consult",4001,"Registered Voters","Internet",1,21,2016,1,24,2016,39.0,45.0,,16.0,1/21/2016,1/24/2016,1/22/2016
US,"Zogby (Internet)",843,"Likely Voters","Internet",1,19,2016,1,20,2016,45.0,45.0,,10.0,1/19/2016,1/20/2016,1/19/2016
US,"NBC/WSJ",800,"Registered Voters","Live Phone",1,9,2016,1,13,2016,41.0,51.0,,,1/9/2016,1/13/2016,1/11/2016
US,"Gravis Marketing/OANN",2416,"Registered Voters","Automated Phone",1,10,2016,1,10,2016,51.0,49.0,,,1/10/2016,1/10/2016,1/10/2016
US,"FOX",1006,"Registered Voters","Live Phone",1,4,2016,1,7,2016,47.0,44.0,2.0,,1/4/2016,1/7/2016,1/5/2016
