Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Portman,Strickland,Other,Difference,Pollster URL,Source URL,Partisan,Affiliation,Question Text,Question Iteration
Suffolk,2016-09-12,2016-09-14,2016-09-15T16:09:30Z,500,Likely Voters,Live Phone,39.0,31.0,5.0,-8.0,http://elections.huffingtonpost.com/pollster/polls/suffolk-25502,http://www.suffolk.edu/academics/10740.php,Nonpartisan,None,"For U.S. Senate, your ballot includes five names non-party Tom Connors, Green Party Joseph DeMare, Republican Rob Portman, non-party Scott Rupert, Democrat Ted Strickland. At this point who will you vote for or lean toward?",1
Bloomberg/Selzer,2016-09-09,2016-09-12,2016-09-14T11:39:59Z,802,Likely Voters,Live Phone,53.0,36.0,3.0,-17.0,http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-25477,https://assets.bwbx.io/documents/users/iqjWHBFdfxIU/r2.771xfmKOI/v0,Nonpartisan,None,"If the general election for U.S. Senate were held today, and the candidates were Ted Strickland for the Democrats and Rob Portman for the Republicans, for whom would you vote? ",1
CNN,2016-09-07,2016-09-12,2016-09-14T21:13:14Z,769,Likely Voters,Live Phone,58.0,37.0,3.0,-21.0,http://elections.huffingtonpost.com/pollster/polls/cnn-25494,http://www.cnn.com/2016/09/14/politics/cnn-orc-poll-florida-ohio-donald-trump-hillary-clinton/index.html,Nonpartisan,None,"If the election for U.S. Senate were held today and the candidates were Ted Strickland, the Democrat and Rob Portman, the Republican, who would you be more likely to vote for? ",1
Quinnipiac,2016-08-29,2016-09-07,2016-09-09T16:13:18Z,775,Likely Voters,Live Phone,51.0,40.0,1.0,-11.0,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-25432,https://www.qu.edu/news-and-events/quinnipiac-university-poll/2016-presidential-swing-state-polls/release-detail?ReleaseID=2377,Nonpartisan,None,"If the election for United States Senator were being held today, and the candidates were Ted Strickland the Democrat and Rob Portman the Republican, for whom would you vote? ",1
PPP (D-NELP) ,2016-08-26,2016-08-27,2016-09-01T15:15:09Z,1134,Likely Voters,IVR/Online,48.0,39.0,,-9.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-nelp-25315,http://nelpaction.org/wp-content/uploads/2016/08/OhioResults1.pdf,Sponsor,Dem,"The candidates for U.S. Senate are Democrat Ted Strickland and Republican Rob Portman. If the election were today, who would you vote for? ",1
Monmouth University,2016-08-18,2016-08-21,2016-08-22T17:02:38Z,402,Likely Voters,Live Phone,48.0,40.0,4.0,-8.0,http://elections.huffingtonpost.com/pollster/polls/monmouth-university-25232,http://www.monmouth.edu/polling-institute/reports/MonmouthPoll_OH_082216/,Nonpartisan,None,"If the election for U.S. Senate was today, would you vote for Rob Portman the Republican, Ted Strickland the Democrat, or some other candidate?",1
CBS/YouGov,2016-08-17,2016-08-19,2016-08-21T16:19:37Z,997,Likely Voters,Internet,46.0,39.0,4.0,-7.0,http://elections.huffingtonpost.com/pollster/polls/cbs-yougov-25219,http://www.cbsnews.com/news/poll-hillary-clinton-extends-lead-ohio-iowa-donald-trump/,Nonpartisan,None,,1
NBC/WSJ/Marist,2016-08-03,2016-08-07,2016-08-09T21:20:52Z,889,Registered Voters,Live Phone,48.0,43.0,1.0,-5.0,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-marist-25105,http://www.nbcnews.com/politics/first-read/polls-clinton-ahead-trump-midwest-battlegrounds-n626541,Nonpartisan,None,2016 Ohio election for U.S. Senate including those who are undecided yet leaning toward a candidate,1
Quinnipiac,2016-07-30,2016-08-07,2016-08-11T10:57:37Z,812,Likely Voters,Live Phone,49.0,40.0,1.0,-9.0,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-25121,https://www.qu.edu/news-and-events/quinnipiac-university-poll/2016-presidential-swing-state-polls/release-detail?ReleaseID=2372,Nonpartisan,None,"If the election for United States Senator were being held today, and the candidates were Ted Strickland the Democrat and Rob Portman the Republican, for whom would you vote? (If undecided) As of today, do you lean more toward Strickland or Portman?",1
PPP (D),2016-07-22,2016-07-24,2016-07-25T20:48:23Z,1334,Likely Voters,IVR/Online,43.0,38.0,,-5.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-24961,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_OH_72516.pdf,Pollster,Dem,"If the candidates for Senate this fall were Republican Rob Portman and Democrat Ted Strickland, who would you vote for?",1
Suffolk,2016-07-18,2016-07-20,2016-07-21T15:55:18Z,500,Likely Voters,Live Phone,37.0,33.0,6.0,-4.0,http://elections.huffingtonpost.com/pollster/polls/suffolk-24948,http://www.suffolk.edu/documents/SUPRC/7_21_2016_marginals.pdf,Nonpartisan,None,"For U.S. Senate, the candidates are Republican Rob Portman, Democrat Ted Strickland, and Green Party Joseph DeMare. At this point who will you vote for or lean toward?",1
CBS/YouGov,2016-07-13,2016-07-15,2016-07-17T15:24:53Z,1104,Likely Voters,Internet,41.0,40.0,4.0,-1.0,http://elections.huffingtonpost.com/pollster/polls/cbs-yougov-24910,https://today.yougov.com/news/2016/07/17/clinton-trump-neck-and-neck-key-battlegrounds/,Nonpartisan,None,,1
Quinnipiac,2016-06-30,2016-07-11,2016-07-14T21:41:35Z,955,Registered Voters,Live Phone,47.0,40.0,1.0,-7.0,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-24890,http://www.qu.edu/news-and-events/quinnipiac-university-poll/2016-presidential-swing-state-polls/release-detail?ReleaseID=2366,Nonpartisan,None,"If the election for United States Senator were being held today, and the candidates were Ted Strickland the Democrat and Rob Portman the Republican, for whom would you vote?",1
NBC/WSJ/Marist,2016-07-05,2016-07-10,2016-07-13T17:07:36Z,848,Registered Voters,Live Phone,44.0,44.0,2.0,0.0,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-marist-24876,http://maristpoll.marist.edu/wp-content/misc/OHPolls/OH160705/NBC%20News_WSJ_Marist%20Poll_Ohio%20Nature%20of%20the%20Sample%20and%20Tables_July%202016.pdf#page=1,Nonpartisan,None,2016 Ohio election for U.S. Senate including those who are undecided yet leaning toward a candidate,1
PPP (D-Americans United for Change/Constitutional Responsibility Project) ,2016-06-22,2016-06-23,2016-06-28T03:27:15Z,708,Likely Voters,IVR/Online,40.0,39.0,,-1.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-americans-united-for-change-constitutional-responsibility-project-24788,http://www.americansunitedforchange.org/page/-/SupremeCourtMemo62816.pdf,Sponsor,Dem,,1
GQR (D-Democracy Corps/Women's Voices Women Vote),2016-06-11,2016-06-20,2016-07-09T02:24:29Z,300,Likely Voters,Live Phone,40.0,43.0,2.0,3.0,http://elections.huffingtonpost.com/pollster/polls/gqr-d-democracy-corps-women-s-voices-women-vote-24847,http://big.assets.huffingtonpost.com/Dcorps_WV_BG_2016.pdf,Sponsor,Dem,,1
Quinnipiac,2016-06-08,2016-06-19,2016-06-22T14:31:42Z,971,Registered Voters,Live Phone,42.0,42.0,1.0,0.0,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-24735,https://www.qu.edu/images/polling/ps/ps06222016_Smbh28wf.pdf,Nonpartisan,None,,1
PPP (D-MoveOn),2016-06-08,2016-06-09,2016-06-13T21:56:06Z,761,Likely Voters,Automated Phone,46.0,42.0,,-4.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-moveon-24666,https://www.scribd.com/doc/315391783/MoveOn-OH-Senate-Survey-Results,Sponsor,Dem,,1
Quinnipiac,2016-04-27,2016-05-08,2016-05-11T14:41:00Z,1042,Registered Voters,Live Phone,42.0,43.0,1.0,1.0,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-24472,https://www.qu.edu/images/polling/ps/ps05112016_S28whtr.pdf,Nonpartisan,None,,1
PPP (D),2016-04-26,2016-04-27,2016-05-02T14:10:27Z,799,Registered Voters,IVR/Online,38.0,38.0,,0.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-24417,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_OH_50216.pdf,Pollster,Dem,,1
PPP (D),2016-03-04,2016-03-06,2016-03-10T20:38:57Z,1248,Likely Voters,Automated Phone,40.0,41.0,,1.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-24043,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_OH_31016.pdf,Pollster,Dem,,1
Quinnipiac,2016-02-16,2016-02-20,2016-02-24T16:23:25Z,1539,Registered Voters,Live Phone,42.0,44.0,0.0,2.0,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23851,http://www.quinnipiac.edu/images/polling/oh/oh02232016_Osm46vb.pdf,Nonpartisan,None,,1
Baldwin Wallace University,2016-02-11,2016-02-20,2016-02-25T22:10:36Z,825,Likely Voters,Internet,44.0,40.0,,-4.0,http://elections.huffingtonpost.com/pollster/polls/baldwin-wallace-university-23879,http://www.bw.edu/Assets/stories/2016/ToplineReport_Ohio%20Election%20Poll_Feb24-FINALx.pdf,Nonpartisan,None,,1
GQR (D)/Democracy Corps/WVWV/Voter Participation Center,2015-10-24,2015-10-28,2015-11-09T21:56:57Z,400,Likely Voters,Live Phone,47.0,47.0,,0.0,http://elections.huffingtonpost.com/pollster/polls/gqr-d-democracy-corps-wvwv-voter-participation-center-23094,http://www.democracycorps.com/attachments/article/1014/Dcorps_WV_BG_11.9.15_final.pdf,Sponsor,Dem,,1
Quinnipiac,2015-09-25,2015-10-05,2015-10-08T15:19:47Z,1180,Registered Voters,Live Phone,43.0,46.0,1.0,3.0,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22875,http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/2016-presidential-swing-state-polls/release-detail?ReleaseID=2288,Nonpartisan,None,,1
Harstad (D-Senate Majority PAC),2015-09-10,2015-09-16,2015-10-06T19:35:28Z,813,Likely Voters,Live Phone,43.0,46.0,,3.0,http://elections.huffingtonpost.com/pollster/polls/harstad-d-senate-majority-pac-22857,http://b.3cdn.net/maj2012/c5e964771a7489093e_i3m6bn3zb.pdf,Sponsor,Dem,,1
Quinnipiac,2015-08-07,2015-08-18,2015-08-27T19:04:16Z,1096,Registered Voters,Live Phone,41.0,44.0,1.0,3.0,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22616,http://www.quinnipiac.edu/images/polling/ps/soh08252015_trendscrosstabs_Srb42m.pdf,Nonpartisan,None,,1
Quinnipiac,2015-06-04,2015-06-15,2015-06-23T00:52:58Z,1191,Registered Voters,Live Phone,40.0,46.0,1.0,6.0,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22286,http://www.quinnipiac.edu/images/polling/ps/soh06222015_trendscrosstabs_Sp52rg.pdf,Nonpartisan,None,,1
Vox Populi (R),2015-06-06,2015-06-07,2015-10-13T18:42:14Z,474,Likely Voters,IVR/Online,47.0,37.0,,-10.0,http://elections.huffingtonpost.com/pollster/polls/vox-populi-r-22906,http://dailycaller.com/2015/06/10/poll-sen-rob-portman-holds-lead-in-competitive-ohio-senate-race/,Pollster,Rep,,1
PPP (D),2015-06-04,2015-06-07,2015-06-09T20:59:53Z,859,Likely Voters,Automated Phone,43.0,41.0,,-2.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-22232,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_OH_60915.pdf,Pollster,Dem,,1
Quinnipiac,2015-03-17,2015-03-28,2015-04-06T20:22:31Z,1077,Registered Voters,Live Phone,39.0,49.0,0.0,10.0,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-21977,http://www.quinnipiac.edu/images/polling/sw/soh04062015_trendscrosstabs_Spg72ho.pdf,Nonpartisan,None,,1
PPP (D),2015-03-02,2015-03-03,2015-03-06T22:36:05Z,946,Likely Voters,Automated Phone,45.0,45.0,,0.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-21827,http://www.publicpolicypolling.com/main/2015/01/OhioResults1.pdf,Pollster,Dem,,1
