Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Toomey,McGinty,Other,Difference,Pollster URL,Source URL,Partisan,Affiliation,Question Text,Question Iteration
Quinnipiac,2016-08-29,2016-09-07,2016-09-09T16:16:53Z,778,Likely Voters,Live Phone,46.0,45.0,1.0,-1.0,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-25434,https://www.qu.edu/news-and-events/quinnipiac-university-poll/2016-presidential-swing-state-polls/release-detail?ReleaseID=2377,Nonpartisan,None,"If the election for United States Senator were being held today, and the candidates were Katie McGinty the Democrat and Pat Toomey the Republican, for whom would you vote?",1
CBS/YouGov,2016-08-30,2016-09-02,2016-09-04T14:41:47Z,1091,Likely Voters,Internet,39.0,39.0,2.0,0.0,http://elections.huffingtonpost.com/pollster/polls/cbs-yougov-25337,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/0iehgiezx8/PA_final_20160904.pdf,Nonpartisan,None,,1
PPP (D- Constitutional Responsibility Project),2016-08-30,2016-08-31,2016-09-07T15:18:47Z,814,Likely Voters,IVR/Online,41.0,44.0,,3.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-constitutional-responsibility-project-25414,http://weneednine.org/wp-content/uploads/2016/07/PAToplines1.pdf,Sponsor,Dem,"The candidates for U.S. Senate are Democrat Katie McGinty and Republican Pat Toomey. If the election were today, who would you vote for?",1
Monmouth University,2016-08-26,2016-08-29,2016-08-30T17:04:43Z,402,Likely Voters,Live Phone,41.0,45.0,7.0,4.0,http://elections.huffingtonpost.com/pollster/polls/monmouth-university-25294,http://www.monmouth.edu/polling-institute/reports/MonmouthPoll_PA_083016/,Nonpartisan,None,"If the election for U.S. Senate was today, would you vote for Pat Toomey the Republican, Katie McGinty the Democrat, or Edward Clifford the Libertarian?",1
Franklin and Marshall College,2016-08-25,2016-08-29,2016-09-01T12:40:23Z,496,Likely Voters,Live Phone/Online,38.0,43.0,,5.0,http://elections.huffingtonpost.com/pollster/polls/franklin-and-marshall-college-25308,http://www.fandm.edu/uploads/files/976089416682518756-f-m-poll-release-august-2016-1.pdf,Nonpartisan,None,"If the 2016 election for U.S. SENATOR was being held today and the candidates included Katie McGinty, the Democrat, and Pat Toomey, the Republican, would you vote for Katie McGinty, Pat Toomey, or aren't you sure how you would vote? ",1
PPP (D-NELP),2016-08-26,2016-08-27,2016-09-01T15:11:16Z,1194,Likely Voters,IVR/Online,40.0,46.0,,6.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-nelp-25313,http://nelpaction.org/wp-content/uploads/2016/08/PAResults1.pdf,Sponsor,Dem,"The candidates for U.S. Senate are Democrat Katie McGinty and Republican Pat Toomey. If the election were today, who would you vote for?",1
NBC/WSJ/Marist,2016-08-03,2016-08-07,2016-08-09T21:27:25Z,834,Registered Voters,Live Phone,44.0,48.0,1.0,4.0,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-marist-25106,http://www.nbcnews.com/politics/first-read/polls-clinton-ahead-trump-midwest-battlegrounds-n626541,Nonpartisan,None,2016 Pennsylvania election for U.S. Senate including those who are undecided yet leaning toward a candidate,1
Quinnipiac,2016-07-30,2016-08-07,2016-08-11T10:59:49Z,815,Likely Voters,Live Phone,44.0,47.0,0.0,3.0,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-25122,https://www.qu.edu/news-and-events/quinnipiac-university-poll/2016-presidential-swing-state-polls/release-detail?ReleaseID=2372,Nonpartisan,None,"If the election for President were being held today, and the candidates were Katie McGinty the Democrat and Pat Toomey the Republican, for whom would you vote? (If undecided) As of today, do you lean more toward McGinty or Toomey?",1
Susquehanna (R)/ABC27 News,2016-07-31,2016-08-04,2016-08-08T22:07:26Z,772,Likely Voters,IVR/Live Phone,40.0,42.0,,2.0,http://elections.huffingtonpost.com/pollster/polls/susquehanna-r-abc27-news-25093,https://mgtvwhtm.files.wordpress.com/2016/08/toplines-statewideabc27-aug16.pdf,Pollster,Rep,"If the election for United States Senator were held today would you vote for Pat Toomey, the Republican candidate, or Katie McGinty, the Democratic candidate?",1
Franklin and Marshall College,2016-07-29,2016-08-01,2016-08-04T13:26:57Z,389,Likely Voters,Live Phone/Online,38.0,39.0,,1.0,http://elections.huffingtonpost.com/pollster/polls/franklin-and-marshall-college-25058,http://www.fandm.edu/uploads/files/517148503881751921-f-m-poll-release-july-2016.pdf,Nonpartisan,None,"If the 2016 election for U.S. SENATOR was being held today and the candidates included Katie McGinty, the Democrat, and Pat Toomey, the Republican, would you vote for Katie McGinty, Pat Toomey, or aren't you sure how you would vote? ",1
PPP (D),2016-07-29,2016-07-31,2016-08-02T16:33:24Z,1505,Likely Voters,IVR/Online,42.0,41.0,,-1.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-25043,http://www.publicpolicypolling.com/pdf/2015/PennsylvaniaMiscellaneousResultsJuly2016.pdf,Pollster,Dem,"The candidates for US Senate are Republican Pat Toomey and Democrat Katie McGinty. If the election was today, who would you vote for?",1
Suffolk,2016-07-25,2016-07-27,2016-07-28T16:30:47Z,500,Likely Voters,Live Phone,36.0,43.0,1.0,7.0,http://elections.huffingtonpost.com/pollster/polls/suffolk-24983,http://www.suffolk.edu/academics/10740.php,Nonpartisan,None,"For U.S. Senate, the candidates are Republican Pat Toomey and Democrat Katie McGinty. At this point who will you vote for or lean toward?",1
Quinnipiac,2016-06-30,2016-07-11,2016-07-14T21:37:12Z,982,Registered Voters,Live Phone,49.0,39.0,1.0,-10.0,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-24889,http://www.qu.edu/news-and-events/quinnipiac-university-poll/2016-presidential-swing-state-polls/release-detail?ReleaseID=2366,Nonpartisan,None," If the election for United States Senator were being held today, and the candidates were Katie McGinty the Democrat and Pat Toomey the Republican, for whom would you vote?",1
NBC/WSJ/Marist,2016-07-05,2016-07-10,2016-07-13T17:16:42Z,829,Registered Voters,Live Phone,44.0,47.0,2.0,3.0,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-marist-24878,http://maristpoll.marist.edu/wp-content/misc/PAPolls/PA160705/NBC%20News_WSJ_Marist%20Poll_Pennsylvania%20Nature%20of%20the%20Sample%20and%20Tables_July%202016.pdf#page=1,Nonpartisan,None,2016 Pennsylvania election for U.S. Senate including those who are undecided yet leaning toward a candidate,1
PPP (D-Americans United for Change/Constitutional Responsibility Project) ,2016-06-22,2016-06-23,2016-06-28T03:29:20Z,980,Likely Voters,IVR/Online,40.0,39.0,,-1.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-americans-united-for-change-constitutional-responsibility-project-24789,http://www.americansunitedforchange.org/page/-/SupremeCourtMemo62816.pdf,Sponsor,Dem,,1
GQR (D-Democracy Corps/Women's Voices Women Vote),2016-06-11,2016-06-20,2016-07-09T02:25:21Z,300,Likely Voters,Live Phone,46.0,38.0,1.0,-8.0,http://elections.huffingtonpost.com/pollster/polls/gqr-d-democracy-corps-women-s-voices-women-vote-24848,http://big.assets.huffingtonpost.com/Dcorps_WV_BG_2016.pdf,Sponsor,Dem,,1
Quinnipiac,2016-06-08,2016-06-19,2016-06-22T14:33:32Z,950,Registered Voters,Live Phone,49.0,40.0,4.0,-9.0,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-24736,https://www.qu.edu/images/polling/ps/ps06222016_Smbh28wf.pdf,Nonpartisan,None,,1
PPP (D-MoveOn),2016-06-08,2016-06-09,2016-06-13T21:37:26Z,965,Likely Voters,Automated Phone,45.0,42.0,,-3.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-moveon-24664,https://www.scribd.com/doc/315390948/MoveOn-PA-Senate-Survey-Results,Sponsor,Dem,,1
PPP (D),2016-06-03,2016-06-05,2016-06-08T18:43:37Z,1106,Likely Voters,IVR/Online,41.0,38.0,,-3.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-24641,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_PA_60816.pdf,Pollster,Dem,,1
Quinnipiac,2016-04-27,2016-05-08,2016-05-11T14:38:13Z,1077,Registered Voters,Live Phone,45.0,44.0,1.0,-1.0,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-24471,https://www.qu.edu/images/polling/ps/ps05112016_S28whtr.pdf,Nonpartisan,None,,1
Quinnipiac,2016-03-30,2016-04-04,2016-04-07T14:44:21Z,1737,Registered Voters,Live Phone,47.0,38.0,4.0,-9.0,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-24225,https://www.qu.edu/images/polling/pa/pa04072016_Pb92qwa.pdf,Nonpartisan,None,,1
Mercyhurst University,2016-03-01,2016-03-11,2016-03-14T21:39:32Z,421,Registered Voters,Live Phone,47.0,34.0,2.0,-13.0,http://elections.huffingtonpost.com/pollster/polls/mercyhurst-university-24092,https://www.mercyhurst.edu/sites/default/files/uploads/<em>Edit%20Simple</em>%20MCAP%20Polls%20/mercyhurst_poll_3_spring_2016_report_edit.pdf,Nonpartisan,None,,1
PPP (D),2015-10-08,2015-10-11,2015-10-15T20:42:19Z,1012,Likely Voters,IVR/Online,43.0,36.0,,-7.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-22927,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_PA_101515.pdf,Pollster,Dem,,1
Quinnipiac,2015-09-25,2015-10-05,2015-10-08T15:21:20Z,1049,Registered Voters,Live Phone,51.0,31.0,4.0,-20.0,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22876,http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/2016-presidential-swing-state-polls/release-detail?ReleaseID=2288,Nonpartisan,None,,1
Harper (R),2015-09-09,2015-09-10,2015-09-22T06:23:18Z,700,Likely Voters,Automated Phone,48.0,34.0,,-14.0,http://elections.huffingtonpost.com/pollster/polls/harper-r-22770,http://harperpolling.com/docs/default-source/default-document-library/15-09-hp-pa-statewide-toplines.pdf?sfvrsn=0,Pollster,Rep,,1
Franklin and Marshall College,2015-08-17,2015-08-24,2016-08-12T20:16:08Z,605,Registered Voters,Live Phone,35.0,28.0,,-7.0,http://elections.huffingtonpost.com/pollster/polls/franklin-and-marshall-college-25155,http://www.fandm.edu/uploads/files/761140978937429246-franklin-marshall-college-poll-august-2015.pdf,Nonpartisan,None,"If the 2016 election for U.S. SENATOR were being held today and the candidates included Katie McGinty, the Democrat, and Pat Toomey, the Republican, would you vote for Katie McGinty, Pat Toomey, or aren't you sure how you would vote? ",1
Quinnipiac,2015-08-07,2015-08-18,2015-08-27T19:08:50Z,1085,Registered Voters,Live Phone,48.0,32.0,3.0,-16.0,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22617,http://www.quinnipiac.edu/images/polling/ps/spa08252015_trendscrosstabs_Srb42m.pdf,Nonpartisan,None,,1
PPP (D),2014-05-30,2014-06-01,2014-06-03T17:01:00Z,835,Likely Voters,Automated Phone,42.0,38.0,,-4.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-19575,http://www.publicpolicypolling.com/pdf/2014/PPP_Release_PA_603.pdf,Pollster,Dem,,1
