Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Democrat,Republican,Other,Undecided,Pollster URL,Source URL,Partisan,Affiliation,Question Text,Question Iteration
YouGov/Economist,2016-09-10,2016-09-13,2016-09-14T17:01:06Z,1085,Registered Voters,Internet,44.0,38.0,3.0,15.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-25487,https://today.yougov.com/news/2016/09/13/yougoveconomist-poll-september-10-13-2016/,Nonpartisan,None,,1
Ipsos/Reuters,2016-09-08,2016-09-12,2016-09-14T16:20:00Z,1127,Likely Voters,Internet,40.0,38.0,5.0,17.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25486,http://ipsos-na.com/download/pr.aspx?id=15896,Nonpartisan,None,"In 2016, if the election for U.S. Congress were held today, would you vote for the Democratic candidate or the Republican candidate for U.S. Congress in your district where you live?",1
Morning Consult,2016-09-06,2016-09-08,2016-09-11T12:44:31Z,1710,Likely Voters,Internet,44.0,40.0,,16.0,http://elections.huffingtonpost.com/pollster/polls/morning-consult-25447,https://morningconsult.com/2016/09/11/presidential-race-near-toss-among-likely-voters/,Nonpartisan,None,,1
YouGov/Economist,2016-09-04,2016-09-06,2016-09-07T14:42:43Z,1073,Registered Voters,Internet,41.0,38.0,3.0,18.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-25411,https://today.yougov.com/news/2016/09/07/yougoveconomist-poll-september-4-6-2016/,Nonpartisan,None,,1
Ipsos/Reuters,2016-09-01,2016-09-05,2016-09-09T19:40:58Z,1084,Likely Voters,Internet,40.0,39.0,4.0,18.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25441,http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=7361,Nonpartisan,None,"In 2016, if the election for U.S. Congress were held today, would you vote for the Democratic candidate or the Republican candidate for U.S. Congress in your district where you live?",1
CNN,2016-09-01,2016-09-04,2016-09-09T18:08:49Z,786,Likely Voters,Live Phone,47.0,49.0,2.0,2.0,http://elections.huffingtonpost.com/pollster/polls/cnn-25436,http://www.cnn.com/2016/09/09/politics/poll-economy-obama-approval-rating/index.html,Nonpartisan,None,"If the elections for Congress were being held today, which party's candidate would you vote for in your Congressional district?",1
Morning Consult,2016-09-01,2016-09-02,2016-09-04T13:14:15Z,2001,Registered Voters,Internet,41.0,38.0,,21.0,http://elections.huffingtonpost.com/pollster/polls/morning-consult-25336,https://morningconsult.com/2016/09/04/trumps-immigration-stance-isnt-hurting/,Nonpartisan,None,,1
GWU/Battleground,2016-08-28,2016-09-01,2016-09-07T11:53:44Z,1000,Likely Voters,Live Phone,45.0,43.0,,13.0,http://elections.huffingtonpost.com/pollster/polls/gwu-battleground-25409,http://big.assets.huffingtonpost.com/BGGWTarranceGroupLakeResearch.pdf,Nonpartisan,None,,1
YouGov/Economist,2016-08-27,2016-08-29,2016-08-31T12:46:46Z,1112,Adults,Internet,42.0,39.0,2.0,17.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-25297,https://today.yougov.com/news/2016/08/30/yougoveconomist-poll-august-27-29-2016/,Nonpartisan,None,,1
Ipsos/Reuters,2016-08-25,2016-08-29,2016-08-31T21:28:43Z,1404,Likely Voters,Internet,39.0,37.0,5.0,20.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25305,http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=7353,Nonpartisan,None,"In 2016, if the election for U.S. Congress were held today, would you vote for the Democratic candidate or the Republican candidate for U.S. Congress in your district where you live?",1
Morning Consult,2016-08-24,2016-08-26,2016-08-28T13:45:41Z,2007,Registered Voters,Internet,42.0,39.0,,19.0,http://elections.huffingtonpost.com/pollster/polls/morning-consult-25276,https://morningconsult.com/2016/08/28/trump-gains-ground-clinton-black-voters-still-wary/,Nonpartisan,None,,1
Ipsos/Reuters,2016-08-20,2016-08-24,2016-08-25T15:40:11Z,1049,Likely Voters,Internet,43.0,36.0,3.0,18.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25260,http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=7349,Nonpartisan,None,"In 2016, if the election for U.S. Congress were held today, would you vote for the Democratic candidate or the Republican candidate for U.S. Congress in your district where you live?",1
YouGov/Economist,2016-08-19,2016-08-23,2016-08-24T15:30:50Z,1075,Adults,Internet,44.0,37.0,3.0,16.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-25247,https://today.yougov.com/news/2016/08/24/yougoveconomist-poll-august-19-23-2016/,Nonpartisan,None,,1
Morning Consult,2016-08-18,2016-08-20,2016-08-21T14:24:41Z,2001,Registered Voters,Internet,42.0,37.0,,21.0,http://elections.huffingtonpost.com/pollster/polls/morning-consult-25218,https://morningconsult.com/2016/08/21/trumps-campaign-shakeup-likely-little-late/,Nonpartisan,None,,1
Ipsos/Reuters,2016-08-13,2016-08-17,2016-08-19T12:21:59Z,1049,Likely Voters,Internet,40.0,39.0,3.0,17.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25213,http://www.ipsos-na.com/download/pr.aspx?id=15860,Nonpartisan,None,"In 2016, if the election for U.S. Congress were held today, would you vote for the Democratic candidate or the Republican candidate for U.S. Congress in your district where you live?",1
YouGov/Economist,2016-08-11,2016-08-16,2016-08-17T14:19:06Z,1073,Adults,Internet,44.0,35.0,3.0,18.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-25194,https://today.yougov.com/news/2016/08/16/yougoveconomist-poll-august-14-16-2016/,Nonpartisan,None,,1
"Normington, Petts & Associates (D-End Citizens United)",2016-08-09,2016-08-15,2016-08-19T21:22:29Z,1000,Likely Voters,Live Phone,48.0,41.0,2.0,8.0,http://elections.huffingtonpost.com/pollster/polls/normington-petts-associates-d-end-citizens-united-25217,http://endcitizensunited.org/press-releases/new-end-citizens-united-poll-clinton-ahead-of-trump-voters-concerned-about-money-in-politics-favor-candidates-for-reform/,Sponsor,Dem,"If the election for U.S. Congress were held today, for whom would you vote the DEMOCRATIC candidate or the REPUBLICAN candidate?",1
Morning Consult,2016-08-11,2016-08-14,2016-08-15T18:50:05Z,2001,Registered Voters,Internet,43.0,37.0,,19.0,http://elections.huffingtonpost.com/pollster/polls/morning-consult-25179,https://morningconsult.com/2016/08/14/poll-trump-arrests-slide-but-favorability-reaches-new-depths/,Nonpartisan,None,,1
Ipsos/Reuters,2016-08-06,2016-08-10,2016-08-11T16:40:56Z,974,Likely Voters,Internet,41.0,35.0,4.0,20.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25129,http://www.ipsos-na.com/download/pr.aspx?id=15842,Nonpartisan,None,"In 2016, if the election for U.S. Congress were held today, would you vote for the Democratic candidate or the Republican candidate for U.S. Congress in your district where you live?",1
YouGov/Economist,2016-08-06,2016-08-09,2016-08-09T22:51:32Z,1026,Registered Voters,Internet,41.0,39.0,3.0,18.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-25107,https://today.yougov.com/news/2016/08/09/yougoveconomist-poll-august-6-9-2016/,Nonpartisan,None,,1
Morning Consult,2016-08-04,2016-08-05,2016-08-07T11:58:22Z,2001,Registered Voters,Internet,44.0,36.0,,20.0,http://elections.huffingtonpost.com/pollster/polls/morning-consult-25078,https://morningconsult.com/2016/08/07/clinton-surges-past-trump-rough-week-republicans/,Nonpartisan,None,,1
McClatchy/Marist,2016-08-01,2016-08-03,2016-08-04T22:00:28Z,983,Registered Voters,Live Phone,49.0,41.0,3.0,7.0,http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-25067,https://www.scribd.com/document/320225575/McClatchy-Marist-Poll-National-Nature-of-the-Sample-and-Tables-August-2016,Nonpartisan,None,"If November's election for Congress were held today, which party's candidate are you more likely to vote for in your district:",1
Ipsos/Reuters,2016-07-30,2016-08-03,2016-08-04T17:44:53Z,1072,Likely Voters,Internet,40.0,37.0,4.0,19.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25063,http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=7333,Nonpartisan,None,"In 2016, if the election for U.S. Congress were held today, would you vote for the Democratic candidate or the Republican candidate for U.S. Congress in your district where you live?",1
YouGov/Economist,2016-07-30,2016-08-01,2016-08-02T11:18:17Z,1063,Registered Voters,Internet,44.0,36.0,2.0,17.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-25040,https://today.yougov.com/news/2016/08/01/yougoveconomist-poll-july-30-august-1-2016/,Nonpartisan,None,,1
Morning Consult,2016-07-29,2016-07-30,2016-07-31T13:39:34Z,1931,Registered Voters,Internet,43.0,38.0,,20.0,http://elections.huffingtonpost.com/pollster/polls/morning-consult-25023,https://morningconsult.com/2016/07/31/presidential-poll-hillary-clinton-donald-trump/,Nonpartisan,None,,1
PPP (D),2016-07-29,2016-07-30,2016-07-31T13:13:24Z,1276,Likely Voters,IVR/Online,47.0,44.0,,9.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-25022,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_7302016.pdf,Pollster,Dem,"Generally speaking if there was an election for Congress today, would you vote for the Democratic or Republican candidate from your district?",1
Ipsos/Reuters,2016-07-25,2016-07-29,2016-07-29T19:50:46Z,1433,Likely Voters,Internet,38.0,37.0,3.0,21.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25002,http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=7324,Nonpartisan,None,"In 2016, if the election for U.S. Congress were held today, would you vote for the Democratic candidate or the Republican candidate for U.S. Congress in your district where you live?",1
YouGov/Economist,2016-07-23,2016-07-24,2016-07-25T21:04:05Z,1057,Registered Voters,Internet,41.0,39.0,4.0,16.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24962,https://today.yougov.com/news/2016/07/25/convention-impact-limited/,Nonpartisan,None,"If the election for Congress were being held today, and you had to make a choice, would you be voting for...",1
Morning Consult,2016-07-22,2016-07-24,2016-07-25T11:08:10Z,2502,Registered Voters,Internet,41.0,38.0,,21.0,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24954,https://morningconsult.com/2016/07/25/trump-surges-past-clinton-post-convention-bump/,Nonpartisan,None,,1
Ipsos/Reuters,2016-07-16,2016-07-20,2016-07-21T16:25:42Z,1232,Registered Voters,Internet,45.0,34.0,4.0,17.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24949,http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePolitical72016.pdf,Nonpartisan,None,"In 2016, if the election for U.S. Congress were held today, would you vote for the Democratic candidate or the Republican candidate for U.S. Congress in your district where you live?",1
YouGov/Economist,2016-07-15,2016-07-17,2016-07-18T21:00:19Z,,Registered Voters,Internet,43.0,36.0,3.0,18.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24925,https://today.yougov.com/news/2016/07/18/yougoveconomist-poll-july-15-17-2016/,Nonpartisan,None,"If the election for Congress were being held today, and you had to make a choice, would
you be voting for...",1
Morning Consult,2016-07-14,2016-07-16,2016-07-18T11:13:12Z,2002,Registered Voters,Internet,44.0,37.0,,19.0,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24914,https://morningconsult.com/2016/07/18/poll-trump-remains-within-striking-distance-clinton-security-issues-rise/,Nonpartisan,None,,1
YouGov/Economist,2016-07-09,2016-07-11,2016-07-13T15:07:40Z,1041,Registered Voters,Internet,43.0,36.0,3.0,18.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24874,https://today.yougov.com/news/2016/07/12/yougoveconomist-poll-july-9-11-2016/,Nonpartisan,None,,1
Morning Consult,2016-07-08,2016-07-10,2016-07-11T16:42:29Z,2001,Registered Voters,Internet,44.0,36.0,,20.0,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24853,https://morningconsult.com/2016/07/11/voters-largely-unmoved-potential-vp-picks-poll-shows/,Nonpartisan,None,,1
Ipsos/Reuters,2016-07-02,2016-07-06,2016-07-07T14:25:34Z,1345,Registered Voters,Internet,46.0,35.0,5.0,15.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24829,http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePolitical7062016.pdf,Nonpartisan,None,,1
YouGov/Economist,2016-07-02,2016-07-04,2016-07-06T14:29:45Z,998,Registered Voters,Internet,45.0,36.0,3.0,16.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24823,https://today.yougov.com/news/2016/07/06/clinton-maintains-her-lead-particularly-negative-r/,Nonpartisan,None,,1
Morning Consult,2016-06-30,2016-07-04,2016-07-05T19:55:24Z,2001,Registered Voters,Internet,43.0,37.0,,20.0,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24822,https://morningconsult.com/2016/07/05/clinton-trump-nearly-tied-new-survey/,Nonpartisan,None,,1
Ipsos/Reuters,2016-06-25,2016-06-29,2016-06-30T14:40:40Z,1247,Registered Voters,Internet,44.0,33.0,6.0,15.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24802,http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePolitical.pdf,Nonpartisan,None,,1
FOX,2016-06-26,2016-06-28,2016-06-30T14:52:33Z,1017,Registered Voters,Live Phone,46.0,41.0,,11.0,http://elections.huffingtonpost.com/pollster/polls/fox-24803,http://www.foxnews.com/politics/2016/06/29/fox-news-poll-clinton-up-by-6-points-89-percent-say-hot-headed-describes-trump.html,Nonpartisan,None,,1
GQR (D-Democracy Corps),2016-06-23,2016-06-28,2016-07-08T14:24:53Z,900,Likely Voters,Live Phone,49.0,41.0,2.0,8.0,http://elections.huffingtonpost.com/pollster/polls/gqr-d-democracy-corps-24835,http://www.democracycorps.com/National-Surveys/,Sponsor,Dem,,1
YouGov/Economist,2016-06-24,2016-06-27,2016-06-29T14:15:26Z,1063,Registered Voters,Internet,42.0,36.0,4.0,19.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24795, https://today.yougov.com/news/2016/06/29/yougoveconomist-poll-june-24-27-2016/,Nonpartisan,None,,1
NBC/WSJ,2016-06-19,2016-06-23,2016-06-27T21:11:14Z,1000,Registered Voters,Live Phone,46.0,46.0,,8.0,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-24784,https://www.scribd.com/doc/316881192/Nbcwsj-June-Poll,Nonpartisan,None,,1
Ipsos/Reuters,2016-06-18,2016-06-22,2016-06-23T14:35:33Z,1339,Registered Voters,Internet,47.0,33.0,5.0,12.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24752,http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePolitical6222016.pdf,Nonpartisan,None,,1
Ipsos/Reuters,2016-06-11,2016-06-15,2016-06-16T15:24:10Z,1323,Registered Voters,Internet,44.0,33.0,6.0,15.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24692,http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePolitical615.pdf,Nonpartisan,None,,1
ABC/Post,2016-05-16,2016-05-19,2016-05-22T15:35:17Z,829,Registered Voters,Live Phone,45.0,45.0,0.0,6.0,http://elections.huffingtonpost.com/pollster/polls/abc-post-24526,https://www.washingtonpost.com/page/2010-2019/WashingtonPost/2016/05/22/National-Politics/Polling/release_426.xml?uuid=v4d0jh_REeaCwqfcsxMofQ,Nonpartisan,None,,1
McLaughlin (R),2016-05-11,2016-05-16,2016-05-18T16:52:49Z,1000,Likely Voters,Internet,46.0,42.0,,13.0,http://elections.huffingtonpost.com/pollster/polls/mclaughlin-r-24510,http://c5.nrostatic.com/sites/default/files/National%20-%20McLaughlin%20-%205-16-16%20Presentation%20-%20NEW%20SPECIAL.pdf,Pollster,Rep,,1
GWU/Battleground,2016-04-17,2016-04-20,2016-04-25T14:20:12Z,1000,Likely Voters,Live Phone,46.0,41.0,,13.0,http://elections.huffingtonpost.com/pollster/polls/gwu-battleground-24342,https://mediarelations.gwu.edu/americans-overwhelmingly-engaged-2016-election-tone-race-affecting-voters-new-gw-battleground-poll,Nonpartisan,None,,1
NBC/WSJ,2016-04-10,2016-04-14,2016-04-18T21:05:54Z,1000,Registered Voters,Live Phone,47.0,45.0,,8.0,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-24305,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/16229%20NBCWSJ%20April%20Poll.pdf,Nonpartisan,None,,1
PPP (D),2016-03-24,2016-03-26,2016-03-31T18:05:23Z,1083,Likely Voters,IVR/Online,43.0,43.0,,13.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-24178,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_33116.pdf,Pollster,Dem,,1
PPP (D),2016-02-02,2016-02-03,2016-02-09T17:00:29Z,1236,Likely Voters,IVR/Online,47.0,41.0,,12.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-23727,http://www.publicpolicypolling.com/pdf/2015/2016results.pdf,Pollster,Dem,,1
PPP (D),2015-12-16,2015-12-17,2015-12-21T17:15:45Z,1267,Likely Voters,IVR/Online,43.0,43.0,,14.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-23396,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_122115.pdf,Pollster,Dem,,1
NBC/WSJ,2015-10-25,2015-10-29,2015-11-05T16:00:43Z,1000,Adults,Live Phone,45.0,45.0,,10.0,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-23071,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/15463%20NBCWSJ%20Late%20October%20Poll%20(4).pdf,Nonpartisan,None,,1
PPP (D),2015-10-01,2015-10-04,2015-10-07T18:53:15Z,1338,Likely Voters,IVR/Online,43.0,43.0,,14.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-22867,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_100715.pdf,Pollster,Dem,,1
Quinnipiac,2015-07-23,2015-07-28,2015-08-03T00:50:33Z,1644,Registered Voters,Live Phone,37.0,39.0,3.0,20.0,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22459,http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2264,Nonpartisan,None,,1
Quinnipiac,2015-05-19,2015-05-26,2015-05-28T21:52:59Z,1711,Registered Voters,Live Phone,39.0,36.0,2.0,22.0,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22181,http://www.quinnipiac.edu/images/polling/us/us05282015_U32trdf.pdf,Nonpartisan,None,,1
Rasmussen,2015-05-10,2015-05-14,2015-05-18T18:17:53Z,2500,Likely Voters,IVR/Online,38.0,38.0,5.0,18.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-22142,http://www.rasmussenreports.com/public_content/politics/mood_of_america/generic_congressional_ballot,Nonpartisan,None,,1
Rasmussen,2015-05-03,2015-05-07,2015-05-18T18:16:57Z,2500,Likely Voters,IVR/Online,38.0,38.0,6.0,18.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-22141,http://www.rasmussenreports.com/public_content/politics/mood_of_america/generic_congressional_ballot,Nonpartisan,None,,1
Rasmussen,2015-04-26,2015-04-30,2015-05-07T00:30:44Z,2500,Likely Voters,IVR/Online,38.0,40.0,6.0,17.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-22107,http://www.rasmussenreports.com/public_content/politics/mood_of_america/generic_congressional_ballot,Nonpartisan,None,,1
Rasmussen,2015-04-19,2015-04-23,2015-04-24T22:23:31Z,2500,Likely Voters,IVR/Online,38.0,39.0,5.0,17.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-22063,http://www.rasmussenreports.com/public_content/politics/mood_of_america/generic_congressional_ballot,Nonpartisan,None,,1
Quinnipiac,2015-04-16,2015-04-21,2015-04-27T18:43:23Z,1353,Registered Voters,Live Phone,37.0,40.0,2.0,20.0,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22066,http://www.quinnipiac.edu/images/polling/us/us04272015_Ubgf325.pdf,Nonpartisan,None,,1
Rasmussen,2015-04-12,2015-04-16,2015-04-20T22:46:37Z,2500,Likely Voters,IVR/Online,39.0,39.0,6.0,17.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-22040,http://www.rasmussenreports.com/public_content/politics/mood_of_america/generic_congressional_ballot,Nonpartisan,None,,1
Rasmussen,2015-04-05,2015-04-09,2015-04-10T23:08:59Z,2500,Likely Voters,IVR/Online,37.0,40.0,5.0,18.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-22000,http://www.rasmussenreports.com/public_content/politics/mood_of_america/generic_congressional_ballot,Nonpartisan,None,,1
Rasmussen,2015-03-29,2015-04-02,2015-04-10T23:14:55Z,2500,Likely Voters,IVR/Online,36.0,40.0,6.0,17.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-22002,http://www.rasmussenreports.com/public_content/politics/mood_of_america/generic_congressional_ballot,Nonpartisan,None,,1
Rasmussen,2015-03-22,2015-03-26,2015-04-01T19:13:04Z,2500,Likely Voters,IVR/Online,38.0,39.0,6.0,18.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-21956,http://www.rasmussenreports.com/public_content/politics/mood_of_america/generic_congressional_ballot,Nonpartisan,None,,1
Rasmussen,2015-03-15,2015-03-19,2015-03-23T22:22:46Z,2500,Likely Voters,IVR/Online,39.0,39.0,6.0,16.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-21905,http://www.rasmussenreports.com/public_content/politics/mood_of_america/generic_congressional_ballot,Nonpartisan,None,,1
Rasmussen,2015-03-08,2015-03-12,2016-04-04T18:49:09Z,2500,Likely Voters,IVR/Online,38.0,39.0,5.0,18.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-24202,http://www.rasmussenreports.com/public_content/politics/mood_of_america/generic_congressional_ballot,Nonpartisan,None,,1
Rasmussen,2015-03-01,2015-03-05,2015-03-12T19:02:49Z,2500,Likely Voters,IVR/Online,36.0,41.0,6.0,16.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-21851,http://www.rasmussenreports.com/public_content/politics/mood_of_america/generic_congressional_ballot,Nonpartisan,None,,1
Rasmussen,2015-02-23,2015-03-01,2015-03-04T23:15:45Z,2800,Likely Voters,IVR/Online,39.0,39.0,6.0,16.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-21813,http://www.rasmussenreports.com/public_content/politics/mood_of_america/generic_congressional_ballot,Nonpartisan,None,,1
Rasmussen,2015-02-16,2015-02-22,2015-02-26T22:34:59Z,2800,Likely Voters,IVR/Online,39.0,38.0,6.0,16.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-21786,http://www.rasmussenreports.com/public_content/politics/mood_of_america/generic_congressional_ballot,Nonpartisan,None,,1
Rasmussen,2015-02-08,2015-02-15,2015-02-19T02:56:28Z,2800,Likely Voters,IVR/Online,38.0,39.0,6.0,17.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-21755,http://www.rasmussenreports.com/public_content/politics/mood_of_america/generic_congressional_ballot,Nonpartisan,None,,1
Rasmussen,2015-02-02,2015-02-08,2015-02-12T02:29:01Z,2800,Likely Voters,IVR/Online,39.0,40.0,5.0,16.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-21717,http://www.rasmussenreports.com/public_content/politics/mood_of_america/generic_congressional_ballot,Nonpartisan,None,,1
Rasmussen,2015-01-26,2015-02-01,2015-02-05T01:29:42Z,2800,Likely Voters,IVR/Online,40.0,38.0,5.0,17.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-21688,http://www.rasmussenreports.com/public_content/politics/mood_of_america/generic_congressional_ballot,Nonpartisan,None,,1
Rasmussen,2015-01-19,2015-01-25,2015-01-29T01:49:07Z,2800,Likely Voters,IVR/Online,40.0,37.0,6.0,17.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-21656,http://www.rasmussenreports.com/public_content/politics/mood_of_america/generic_congressional_ballot,Nonpartisan,None,,1
Rasmussen,2015-01-12,2015-01-18,2015-01-26T21:07:19Z,2800,Likely Voters,IVR/Online,39.0,38.0,6.0,18.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-21643,http://www.rasmussenreports.com/public_content/politics/mood_of_america/generic_congressional_ballot,Nonpartisan,None,,1
Rasmussen,2015-01-05,2015-01-11,2015-01-15T02:14:29Z,3500,Likely Voters,IVR/Online,38.0,38.0,7.0,16.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-21600,http://www.rasmussenreports.com/public_content/politics/mood_of_america/generic_congressional_ballot,Nonpartisan,None,,1
Rasmussen,2014-12-29,2015-01-04,2015-01-07T21:36:24Z,3500,Likely Voters,IVR/Online,40.0,38.0,7.0,16.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-21574,http://www.rasmussenreports.com/public_content/politics/mood_of_america/generic_congressional_ballot,Nonpartisan,None,,1
Rasmussen,2014-12-22,2014-12-28,2014-12-30T01:41:50Z,3500,Likely Voters,IVR/Online,39.0,39.0,6.0,16.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-21558,http://www.rasmussenreports.com/public_content/politics/mood_of_america/generic_congressional_ballot,Nonpartisan,None,,1
Rasmussen,2014-12-15,2014-12-21,2014-12-30T01:40:10Z,3500,Likely Voters,IVR/Online,39.0,40.0,6.0,15.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-21555,http://www.rasmussenreports.com/public_content/politics/mood_of_america/generic_congressional_ballot,Nonpartisan,None,,1
Rasmussen,2014-12-08,2014-12-14,2014-12-30T01:36:44Z,3500,Likely Voters,IVR/Online,37.0,40.0,6.0,17.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-21553,http://www.rasmussenreports.com/public_content/politics/mood_of_america/generic_congressional_ballot,Nonpartisan,None,,1
Rasmussen,2014-12-01,2014-12-07,2014-12-15T22:08:52Z,3500,Likely Voters,IVR/Online,40.0,39.0,5.0,16.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-21515,http://www.rasmussenreports.com/public_content/politics/mood_of_america/generic_congressional_ballot,Nonpartisan,None,,1
Rasmussen,2014-11-24,2014-11-30,2014-12-03T17:42:09Z,3500,Likely Voters,IVR/Online,40.0,41.0,5.0,15.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-21478,http://www.rasmussenreports.com/public_content/politics/mood_of_america/generic_congressional_ballot,Nonpartisan,None,,1
Rasmussen,2014-11-17,2014-11-23,2014-12-03T17:41:16Z,3500,Likely Voters,IVR/Online,39.0,43.0,5.0,14.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-21477,http://www.rasmussenreports.com/public_content/politics/mood_of_america/generic_congressional_ballot,Nonpartisan,None,,1
Rasmussen,2014-11-10,2014-11-16,2014-12-03T17:39:44Z,3500,Likely Voters,IVR/Online,41.0,41.0,5.0,13.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-21474,http://www.rasmussenreports.com/public_content/politics/mood_of_america/generic_congressional_ballot,Nonpartisan,None,,1
